10:58:12,302 | INFO  | eMQ Session Task | PidgeonListener                  | inc.snap.pidgeon.PidgeonListener   32 |  -  -  | received: Message: 1973 sent at: Tue Oct 05 10:58:12 MST 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
10:58:12,303 | INFO  | eMQ Session Task | PidgeonMulticaster               | .snap.pidgeon.PidgeonMulticaster   25 |  -  -  | Sending 1000 bytes to /224.0.0.6:6789
10:58:12,303 | INFO  | Thread-9         | PidgeonIn                        | .opsysinc.snap.pidgeon.PidgeonIn   79 |  -  -  | Pidgeon MC from: 10.0.1.16
10:58:12,303 | INFO  | Thread-9         | PidgeonIn                        | .opsysinc.snap.pidgeon.PidgeonIn   81 |  -  -  | Pidgeon is forwarding: Message: 1972 sent at: Tue Oct 05 10:58:12 MST 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
10:58:12,304 | INFO  | Thread-9         | PidgeonIn                        | .opsysinc.snap.pidgeon.PidgeonIn   79 |  -  -  | Pidgeon MC from: 10.0.1.16
10:58:12,304 | INFO  | eMQ Session Task | PidgeonListener                  | inc.snap.pidgeon.PidgeonListener   32 |  -  -  | received: Message: 1974 sent at: Tue Oct 05 10:58:12 MST 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
10:58:12,304 | INFO  | eMQ Session Task | PidgeonMulticaster               | .snap.pidgeon.PidgeonMulticaster   25 |  -  -  | Sending 1000 bytes to /224.0.0.6:6789
10:58:12,306 | INFO  | eMQ Session Task | PidgeonListener                  | inc.snap.pidgeon.PidgeonListener   32 |  -  -  | received: Message: 1975 sent at: Tue Oct 05 10:58:12 MST 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
10:58:12,306 | INFO  | eMQ Session Task | PidgeonMulticaster               | .snap.pidgeon.PidgeonMulticaster   25 |  -  -  | Sending 1000 bytes to /224.0.0.6:6789
10:58:12,304 | INFO  | Thread-9         | PidgeonIn                        | .opsysinc.snap.pidgeon.PidgeonIn   81 |  -  -  | Pidgeon is forwarding: Message: 1973 sent at: Tue Oct 05 10:58:12 MST 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
10:58:12,307 | INFO  | Thread-9         | PidgeonIn                        | .opsysinc.snap.pidgeon.PidgeonIn   79 |  -  -  | Pidgeon MC from: 10.0.1.16
